epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.2415,1.67551,3.30816,0.02405,0.5476,0.17918,0.27709,0.14194,1.56813,3.2333,0.02218,0.000659176,0.000659176,0.000659176
2,109.38,1.66504,2.73984,0.02333,0.39226,0.34539,0.33152,0.15374,1.8461,2.75963,0.02843,0.00132574,0.00132574,0.00132574
3,163.611,1.74961,2.47547,0.02396,0.43701,0.33224,0.30279,0.13602,1.84878,2.5693,0.02732,0.00199191,0.00199191,0.00199191
4,212.346,1.80012,2.38016,0.02547,0.4361,0.41212,0.38229,0.15999,1.90865,2.42815,0.02935,0.00199864,0.00199864,0.00199864
5,256.348,1.75954,2.15903,0.02527,0.51315,0.44727,0.46331,0.18749,1.99826,2.05969,0.03105,0.00199759,0.00199759,0.00199759
6,316.956,1.79287,2.0447,0.02673,0.60375,0.47039,0.56846,0.25292,1.8505,1.74836,0.02775,0.00199623,0.00199623,0.00199623
