x,y,z
1.390726604528768062e+00,6.311215606219858394e-03,3.176818136125802994e-03
7.602495856006937554e-04,5.653948695668810087e-01,3.176818136125802994e-03
7.027744062936292510e-04,-3.896051287035922628e-01,3.176818136125802994e-03
1.387690761587043520e+00,6.144395867559862903e-03,3.552808891981840134e-03
7.594149783997798447e-04,5.643150147596098787e-01,3.552808891981840134e-03
6.421807839001742726e-04,-3.886849780295526524e-01,3.552808891981840134e-03
1.387962759380170441e+00,7.149497316325922371e-03,3.296760376542806625e-03
1.045961568754750094e-03,5.653562654126369491e-01,3.296760376542806625e-03
9.038880971604063919e-04,-3.876437239971892712e-01,3.296760376542806625e-03
1.387464921043956911e+00,6.120240434430331868e-03,3.781781764701008797e-03
5.749814421113425607e-04,5.643937356240097403e-01,3.781781764701008797e-03
3.870569614646465480e-04,-3.886062458473383274e-01,3.781781764701008797e-03
1.387454466678646803e+00,6.416747496954862233e-03,2.477960195392370224e-03
5.564009661797450143e-04,5.646700549865008023e-01,2.477960195392370224e-03
3.823484020223797070e-04,-3.883299291193254010e-01,2.477960195392370224e-03
1.387680471506608448e+00,6.140954351589788217e-03,2.529215766116976738e-03
8.247061535094749084e-04,5.644993393579139651e-01,2.529215766116976738e-03
5.784490051807017648e-04,-3.885006288254103102e-01,2.529215766116976738e-03
1.386644174598731460e+00,7.170586669755420021e-03,4.827900324016809464e-03
7.911659980710417529e-04,5.595395200399235769e-01,4.827900324016809464e-03
5.372113851726711053e-04,-3.944604461587417621e-01,4.827900324016809464e-03
1.386389002665573189e+00,6.257201832972392012e-03,2.940687583759427071e-03
4.995888305325360025e-04,5.585347883960763982e-01,2.940687583759427071e-03
3.085151338521174152e-04,-3.954651924691448550e-01,2.940687583759427071e-03
1.386608830672209747e+00,6.522050040148311481e-03,2.745488425716757774e-03
7.378174078933510266e-04,5.588458088933563328e-01,2.745488425716757774e-03
5.149600380744740911e-04,-3.951541650765557634e-01,2.745488425716757774e-03
1.386326257141644369e+00,7.008486589753992572e-03,1.968026859685778618e-03
4.575849030047798123e-04,5.593381194246309640e-01,1.968026859685778618e-03
2.306840233383960917e-04,-3.946618535921353477e-01,1.968026859685778618e-03
1.386551626053448727e+00,6.307179117740864364e-03,3.168230177834630013e-03
6.448687774929247980e-04,5.585412419360761271e-01,3.168230177834630013e-03
4.837551855486664303e-04,-3.954587444593171686e-01,3.168230177834630013e-03
1.386543117946449133e+00,6.925826026567499447e-03,1.887281658127903938e-03
6.902940165976445249e-04,5.602945551806964852e-01,1.887281658127903938e-03
4.359478535791303975e-04,-3.957054109845903889e-01,1.887281658127903938e-03
1.386522648923784962e+00,6.214274345499512346e-03,4.704730585217475891e-03
6.774151538993938848e-04,5.596020118653068920e-01,4.704730585217475891e-03
4.099564537046745277e-04,-3.963979507214308029e-01,4.704730585217475891e-03
1.386747550364565207e+00,1.035983240578361355e-03,3.237569238990545273e-03
7.981178863896376758e-04,5.541627052613306015e-01,3.237569238990545273e-03
7.107091839317298881e-04,-4.018372907427064100e-01,3.237569238990545273e-03
1.387801795302086694e+00,1.475158227451430588e-03,3.603300312533974648e-03
1.818151010239176099e-03,5.545161492538753789e-01,3.603300312533974648e-03
1.789877090706203230e-03,-4.014838503280208082e-01,3.603300312533974648e-03
1.386578459390427343e+00,3.818842560880498864e-04,2.810359699651598930e-03
6.382939244995835051e-04,5.535318257260992691e-01,2.810359699651598930e-03
5.348688602091462938e-04,-4.024681686793694646e-01,2.810359699651598930e-03
1.375466466735802307e+00,3.143538464070644626e-04,3.266046755015850067e-03
4.665440251037051363e-04,5.533145460213946265e-01,3.266046755015850067e-03
4.664099917813458915e-04,-4.056854539785960667e-01,3.266046755015850067e-03
1.375428170421831187e+00,2.171206668929497529e-04,2.800317015498876572e-03
4.492525652278242087e-04,5.532695372151652524e-01,2.800317015498876572e-03
4.126941251260173114e-04,-4.057304620880050061e-01,2.800317015498876572e-03
1.375412184395818249e+00,1.107289441529052702e-03,3.499785671010613441e-03
4.121203516472669469e-04,5.541071301996671750e-01,3.499785671010613441e-03
4.122314156051376977e-04,-4.048928698003265159e-01,3.499785671010613441e-03
1.375423745877673465e+00,2.468506204216123156e-04,2.508294535800814629e-03
4.170064072248104979e-04,5.532300930526368177e-01,2.508294535800814629e-03
4.286940204036342118e-04,-4.057699068761430605e-01,2.508294535800814629e-03
1.375624115570376782e+00,-5.246783123643934590e-04,4.057449754327535629e-03
6.030472488594029214e-04,5.524229337377765114e-01,4.057449754327535629e-03
6.395851826777223647e-04,-4.065770655661752886e-01,4.057449754327535629e-03
1.379418480355003140e+00,-5.029008222030492692e-05,3.856423310935497284e-03
5.774460273321061019e-04,5.513473904118111335e-01,3.856423310935497284e-03
3.002937607145300843e-04,-4.096525696228504598e-01,3.856423310935497284e-03
1.379387930618711788e+00,2.278270869875661381e-02,2.714437665417790413e-03
-8.380734155621870352e-03,5.513090874826946930e-01,2.714437665417790413e-03
7.230057896973994015e-03,-4.095641107966050964e-01,2.714437665417790413e-03
1.378802076226103734e+00,5.358801439506670483e-03,1.427578972652554512e-03
-1.788366278745301581e-03,5.523615711438889520e-01,1.427578972652554512e-03
9.956194862244245429e-04,-4.086343962895132020e-01,1.427578972652554512e-03
1.378781842828596504e+00,-2.178242498635229660e-02,4.633403383195400238e-03
8.429844187736429406e-03,5.503866058262216754e-01,4.633403383195400238e-03
-6.367993733039561954e-03,-4.104994560941657156e-01,4.633403383195400238e-03
1.375500785727799213e+00,-3.180369023028072062e-02,5.317429546266794205e-03
8.981942716847306912e-03,5.494606658900730300e-01,5.317429546266794205e-03
-1.220204057019644642e-02,-4.113058191894670701e-01,5.317429546266794205e-03
1.380173234991141085e+00,2.908678167839000295e-02,5.156097933650016785e-02
-6.553680879548082899e-04,5.391038097457214739e-01,5.156097933650016785e-02
2.429953110104764169e-02,-4.135694044292477778e-01,5.156097933650016785e-02
1.384738931484265745e+00,3.438745729672968571e-02,9.999590367078781128e-02
3.392047933272225591e-03,5.429990844779789549e-01,9.999590367078781128e-02
2.931637835117194973e-02,-4.096482422344742136e-01,9.999590367078781128e-02
1.393530773490030406e+00,3.439688911459388293e-02,8.295611292123794556e-02
1.111821229785919102e-02,5.401048193056298130e-01,8.295611292123794556e-02
3.904424878997993925e-02,-4.124859304320740438e-01,8.295611292123794556e-02
1.395949354360725092e+00,3.198330207209467563e-02,8.449137210845947266e-02
1.331025711719181076e-02,5.370715386937637836e-01,8.449137210845947266e-02
4.166327330203060952e-02,-4.155065979822898381e-01,8.449137210845947266e-02
1.389605847484553180e+00,2.342942894910018253e-02,1.143211126327514648e-01
1.227479048254750613e-02,5.428176839354236227e-01,1.143211126327514648e-01
3.075551162110027464e-02,-4.100031087355797133e-01,1.143211126327514648e-01
1.376376096399325899e+00,1.707783292682366755e-02,1.411346793174743652e-01
2.366709491269707033e-02,5.518566257907961958e-01,1.411346793174743652e-01
3.373862245247580272e-02,-4.040903206100046052e-01,1.411346793174743652e-01
1.388089910275626337e+00,2.170069239099921971e-02,1.679706722497940063e-01
3.521658584503453010e-02,5.560636477351350582e-01,1.679706722497940063e-01
4.558196358511274610e-02,-3.998801575925137186e-01,1.679706722497940063e-01
1.396087409805603974e+00,3.035740730595503159e-02,1.824229359626770020e-01
4.210793513127008419e-02,5.619113388694557676e-01,1.824229359626770020e-01
5.445734079900316216e-02,-3.940088942983823173e-01,1.824229359626770020e-01
1.411211375006736102e+00,4.075595799042458500e-02,1.817852705717086792e-01
5.489099552808106297e-02,5.663080754924639804e-01,1.817852705717086792e-01
7.147392777245036022e-02,-3.895480885605689392e-01,1.817852705717086792e-01
1.444422885115629551e+00,5.173114262151529835e-02,1.941720247268676758e-01
8.471738781723277267e-02,5.684621757678893772e-01,1.941720247268676758e-01
1.075087467995767543e-01,-3.872661088170850086e-01,1.941720247268676758e-01
1.458041812292849349e+00,6.714880364092058740e-02,2.118158489465713501e-01
1.148271329310776301e-01,5.747424650937136281e-01,2.118158489465713501e-01
1.455863975268165411e-01,-3.707573327071793101e-01,2.118158489465713501e-01
1.451894177769961880e+00,7.957922106864093181e-02,2.303772568702697754e-01
1.497652493310364097e-01,5.668453226214735796e-01,2.303772568702697754e-01
1.852478233124510709e-01,-3.364580521888132503e-01,2.303772568702697754e-01
1.466187652710459366e+00,9.382915786435749861e-02,2.434810996055603027e-01
1.834578530004637165e-01,5.661682954931955836e-01,2.434810996055603027e-01
2.245723452421566901e-01,-3.398993612122558350e-01,2.434810996055603027e-01
1.455936812754395682e+00,9.951249285018795576e-02,2.363655716180801392e-01
2.220136585422220477e-01,5.665924105292511337e-01,2.363655716180801392e-01
2.620986097766964118e-01,-3.775570462224486223e-01,2.363655716180801392e-01
1.469666498435586277e+00,8.991245097266732655e-02,2.350459545850753784e-01
2.668795457956447681e-01,5.679130226868893683e-01,2.350459545850753784e-01
2.953247530013610178e-01,-5.297184592718888752e-01,2.350459545850753784e-01
