epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,seconds
1,0.507232654626732,0.660525476321196,0.5769230769230769,0.5927145503189957,14.740000009536743
2,0.39038292517056855,0.47905529615206593,0.8269230769230769,0.8301090759415517,15.85386061668396
3,0.32170852731960087,0.40189843605726194,0.8461538461538461,0.8577896686561021,16.646615982055664
4,0.3018072603304183,0.3790369041455098,0.8076923076923077,0.8312409960897305,18.991565704345703
5,0.2867537556291458,0.34442162208068067,0.8333333333333334,0.8489401111339783,39.27886176109314
6,0.306699222164174,0.33710617744005644,0.8397435897435898,0.8533648898950401,21.995340824127197
7,0.27592438866736335,0.3263759528979277,0.8525641025641025,0.862214447417164,23.08181357383728
8,0.25560179780882936,0.3153261160239195,0.8461538461538461,0.8505865404404198,21.060381650924683
9,0.2729556294498417,0.32663262578157276,0.8397435897435898,0.8533648898950401,19.6127667427063
10,0.2488865021465546,0.3070922715541644,0.8782051282051282,0.8799135624614118,20.202888250350952
11,0.24065046562102715,0.29487916827201843,0.8782051282051282,0.8799135624614118,19.978079319000244
12,0.2497486854114958,0.2940839383846674,0.8717948717948718,0.8754887837003499,19.439515590667725
