epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1147.72,1.3954,1.09802,0.01751,0.81814,0.72626,0.81478,0.43057,1.6566,0.99853,0.02296,0.00183511,0.00183511,0.00183511
43,1174.09,1.42814,1.08034,0.01785,0.86869,0.70852,0.8125,0.4388,1.67114,0.98239,0.02345,0.00182722,0.00182722,0.00182722
44,1200.47,1.43191,1.13364,0.01792,0.81185,0.7256,0.81691,0.47882,1.47688,0.99619,0.02009,0.00181915,0.00181915,0.00181915
45,1226.91,1.41368,1.08395,0.0171,0.82189,0.70358,0.81074,0.45031,1.57535,1.0288,0.02141,0.00181093,0.00181093,0.00181093
46,1253.19,1.38992,1.05368,0.01665,0.87763,0.76906,0.85249,0.48653,1.49473,0.8715,0.02133,0.00180254,0.00180254,0.00180254
47,1279.53,1.39839,1.06683,0.01678,0.90322,0.68161,0.83548,0.47422,1.53398,0.93781,0.0208,0.00179398,0.00179398,0.00179398
48,1305.66,1.36655,1.07901,0.01709,0.83835,0.75584,0.83439,0.47339,1.54592,0.90587,0.02093,0.00178527,0.00178527,0.00178527
49,1332.08,1.394,1.0687,0.01748,0.85026,0.72567,0.82642,0.48034,1.47553,0.93532,0.01983,0.0017764,0.0017764,0.0017764
50,1358.37,1.41673,1.05902,0.01779,0.85884,0.75026,0.84356,0.48672,1.52629,0.90025,0.02045,0.00176737,0.00176737,0.00176737
51,1385,1.35513,1.01838,0.01659,0.84638,0.74215,0.84284,0.49492,1.45602,0.89466,0.01911,0.00175819,0.00175819,0.00175819
52,1411.36,1.33544,0.99932,0.01647,0.86521,0.76276,0.83154,0.47611,1.5299,0.97883,0.02105,0.00174886,0.00174886,0.00174886
53,1437.51,1.37706,1.08024,0.01729,0.86387,0.72567,0.84259,0.48277,1.52757,0.9285,0.0209,0.00173937,0.00173937,0.00173937
54,1463.81,1.36817,1.05281,0.01622,0.86376,0.73917,0.82815,0.47035,1.55749,0.97594,0.02107,0.00172974,0.00172974,0.00172974
55,1489.9,1.35497,1.04166,0.01635,0.82299,0.76906,0.8417,0.47855,1.56781,0.85333,0.02181,0.00171996,0.00171996,0.00171996
56,1516.22,1.35883,1.00602,0.01699,0.88888,0.76906,0.86857,0.47621,1.59856,0.87492,0.0213,0.00171004,0.00171004,0.00171004
57,1542.33,1.35987,1.00024,0.01715,0.84922,0.75771,0.85262,0.49056,1.51617,0.87678,0.0206,0.00169997,0.00169997,0.00169997
58,1568.57,1.33396,0.99503,0.01672,0.81838,0.7713,0.85282,0.49134,1.52092,0.81599,0.02006,0.00168976,0.00168976,0.00168976
59,1594.94,1.36031,0.98403,0.01647,0.78409,0.75785,0.82144,0.48129,1.48251,0.92496,0.02007,0.00167941,0.00167941,0.00167941
60,1621.13,1.37204,1.05964,0.01677,0.86818,0.73543,0.84712,0.49616,1.46706,0.90689,0.01954,0.00166893,0.00166893,0.00166893
61,1647.87,1.3038,0.9596,0.0156,0.88353,0.7713,0.85464,0.51315,1.4356,0.86768,0.01928,0.00165831,0.00165831,0.00165831
62,1674.09,1.32323,0.95895,0.01612,0.78867,0.76145,0.82856,0.47036,1.49897,0.92783,0.01993,0.00164756,0.00164756,0.00164756
63,1700.33,1.31383,0.96217,0.01609,0.81945,0.78924,0.83012,0.46957,1.49211,1.03971,0.02046,0.00163668,0.00163668,0.00163668
64,1726.4,1.33991,0.97784,0.01648,0.86102,0.75336,0.85153,0.48599,1.46229,0.86454,0.01922,0.00162567,0.00162567,0.00162567
65,1752.58,1.32643,0.97662,0.01607,0.84318,0.77578,0.84556,0.4829,1.51259,0.89774,0.02009,0.00161454,0.00161454,0.00161454
66,1778.91,1.31238,0.96551,0.01582,0.85572,0.76457,0.85818,0.49619,1.50816,0.84763,0.01975,0.00160328,0.00160328,0.00160328
67,1805.15,1.3038,0.92746,0.01564,0.85405,0.77578,0.85049,0.49903,1.45328,0.84017,0.01956,0.00159191,0.00159191,0.00159191
68,1831.33,1.30972,0.92489,0.01609,0.88848,0.75336,0.86516,0.48915,1.53507,0.81292,0.02022,0.00158041,0.00158041,0.00158041
69,1857.44,1.27809,0.94553,0.01542,0.86431,0.79148,0.88205,0.50845,1.49314,0.7612,0.01923,0.0015688,0.0015688,0.0015688
70,1883.81,1.27375,0.91657,0.01546,0.89391,0.7746,0.85524,0.50436,1.46211,0.81524,0.01944,0.00155707,0.00155707,0.00155707
71,1909.87,1.31131,0.92288,0.01588,0.88417,0.75785,0.84954,0.49953,1.46585,0.8181,0.02023,0.00154523,0.00154523,0.00154523
72,1935.99,1.30946,0.92987,0.01512,0.88716,0.787,0.85931,0.51536,1.45832,0.77777,0.01895,0.00153329,0.00153329,0.00153329
73,1962.16,1.28844,0.87073,0.01589,0.86373,0.79583,0.86515,0.49293,1.5154,0.77639,0.01988,0.00152123,0.00152123,0.00152123
74,1988.2,1.29585,0.90423,0.01548,0.89057,0.80269,0.88067,0.50204,1.51519,0.76534,0.02,0.00150908,0.00150908,0.00150908
75,2014.39,1.27731,0.89578,0.01538,0.90322,0.72422,0.86521,0.4841,1.52896,0.85925,0.02008,0.00149682,0.00149682,0.00149682
76,2040.65,1.2655,0.87539,0.01474,0.88061,0.7773,0.86425,0.51914,1.45468,0.80583,0.01976,0.00148446,0.00148446,0.00148446
