epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,seconds
1,0.38250439037338957,0.518503182209455,0.7756410256410257,0.6074295122453179,5.550708055496216
2,0.2531469207220663,0.49073522824507493,0.7756410256410257,0.6578514097550936,6.047798156738281
3,0.192403445267112,0.39737131351079696,0.8141025641025641,0.6988063387528298,7.310180425643921
4,0.19856810611328488,0.3224915159054292,0.8910256410256411,0.8527474789051246,9.005048274993896
5,0.18812234252899096,0.29181679433737046,0.8974358974358975,0.8643753858818687,9.34365439414978
6,0.16072536668268705,0.26669453122676945,0.8974358974358975,0.8787816423132332,8.879910230636597
7,0.12995891877796859,0.29159925916256046,0.8910256410256411,0.9031693764149002,8.788569688796997
8,0.1411102339001879,0.2852700169269855,0.8910256410256411,0.8959662481992179,10.249753713607788
9,0.1512952064640685,0.2597977205728873,0.8782051282051282,0.8727104342457296,10.761941909790039
10,0.08761552659953156,0.25997191973221606,0.8974358974358975,0.9075941551759621,10.798972129821777
11,0.08594238367373308,0.2636202512643276,0.8910256410256411,0.8815599917678534,11.558995246887207
12,0.08782918545491526,0.30855210163654423,0.8910256410256411,0.8959662481992179,9.652305603027344
13,0.06578494107540349,0.28363519524916625,0.9038461538461539,0.9048158057213418,10.03866958618164
14,0.09032077843653274,0.2972911367049584,0.8974358974358975,0.8931878987445976,10.81986379623413
15,0.07768433824742688,0.2915007517887996,0.8974358974358975,0.9003910269602798,16.480457305908203
16,0.080752383040802,0.4244740299689464,0.8461538461538461,0.8721959250874666,9.706876277923584
17,0.07924184976782093,0.37718229721754026,0.8589743589743589,0.8810454826095904,10.86091685295105
18,0.05061599854613697,0.35286253155806124,0.8653846153846154,0.8782671331549701,10.293973922729492
19,0.07452019253119598,0.33880663835085356,0.8589743589743589,0.8738423543939082,10.2481050491333
20,0.05753298364112068,0.36072541047365236,0.8589743589743589,0.866639226178226,10.568040609359741
21,0.05823050156713696,0.3813193440437317,0.8717948717948718,0.8682856554846676,10.737952947616577
22,0.05629397781157926,0.3560848809205569,0.8910256410256411,0.8959662481992179,10.680504322052002
23,0.06092401778824222,0.38622170304640746,0.8525641025641025,0.8694175756328462,10.879055500030518
24,0.047516284326047244,0.3239489071644269,0.9166666666666666,0.892055978596419,10.761184930801392
25,0.040932451654095696,0.3173858003738599,0.9166666666666666,0.9136653632434657,10.633058547973633
