epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.24,1.49647,6.43658,0.01354,0.00396,0.79042,0.2347,0.13557,1.32535,7.91794,0.01587,0.00048,0.00048,0.00048
2,257.3,1.38797,5.5882,0.01313,0.00393,0.78443,0.15707,0.07895,1.48795,8.00511,0.01972,0.000979834,0.000979834,0.000979834
