model,conf,tp,fp,fn,duplicates,precision,recall,f1,mean_matched_iou
pretrained_yolo26n,0.1,43,27,36,13,0.6142857142857143,0.5443037974683544,0.5771812080536913,0.8308734519537105
pretrained_yolo26n,0.25,34,7,45,1,0.8292682926829268,0.43037974683544306,0.5666666666666667,0.8596415361937355
pretrained_yolo26n,0.35,27,4,52,0,0.8709677419354839,0.34177215189873417,0.4909090909090909,0.8745849309144197
pretrained_yolo26n,0.5,26,3,53,0,0.896551724137931,0.3291139240506329,0.4814814814814815,0.8744543928366441
retrained_best,0.1,69,46,10,22,0.6,0.8734177215189873,0.7113402061855671,0.8467204596685327
retrained_best,0.25,66,17,13,8,0.7951807228915663,0.8354430379746836,0.8148148148148148,0.851752623464122
retrained_best,0.35,61,14,18,6,0.8133333333333334,0.7721518987341772,0.7922077922077922,0.8583194222606596
retrained_best,0.5,58,6,21,0,0.90625,0.7341772151898734,0.8111888111888113,0.8648722243720087
