model,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),fitness
pretrained_yolo26n,0.7406513015471721,0.46997158612004747,0.5792978031324317,0.38274313686111283,0.38274313686111283
retrained_best,0.783073838292454,0.7974683544303798,0.8474170447988602,0.6190634869932728,0.6190634869932728
