x,y,z
1.530173234991140996e+00,2.908678167839000295e-02,5.156097933650016785e-02
1.493446319120451948e-01,5.391038097457214739e-01,5.156097933650016785e-02
1.742995311010476223e-01,-4.135694044292477778e-01,5.156097933650016785e-02
1.534738931484265656e+00,3.438745729672968571e-02,9.999590367078781128e-02
1.533920479332722131e-01,5.429990844779789549e-01,9.999590367078781128e-02
1.793163783511719511e-01,-4.096482422344742136e-01,9.999590367078781128e-02
1.543530773490030317e+00,3.439688911459388293e-02,8.295611292123794556e-02
1.611182122978591924e-01,5.401048193056298130e-01,8.295611292123794556e-02
1.890442487899799406e-01,-4.124859304320740438e-01,8.295611292123794556e-02
1.545949354360725003e+00,3.198330207209467563e-02,8.449137210845947266e-02
1.633102571171917983e-01,5.370715386937637836e-01,8.449137210845947266e-02
1.916632733020305901e-01,-4.155065979822898381e-01,8.449137210845947266e-02
1.539605847484553092e+00,2.342942894910018253e-02,1.143211126327514648e-01
1.622747904825475040e-01,5.428176839354236227e-01,1.143211126327514648e-01
1.807555116211002622e-01,-4.100031087355797133e-01,1.143211126327514648e-01
1.526376096399325810e+00,1.707783292682366755e-02,1.411346793174743652e-01
1.736670949126970509e-01,5.518566257907961958e-01,1.411346793174743652e-01
1.837386224524757972e-01,-4.040903206100046052e-01,1.411346793174743652e-01
1.538089910275626249e+00,2.170069239099921971e-02,1.679706722497940063e-01
1.852165858450345315e-01,5.560636477351350582e-01,1.679706722497940063e-01
1.546087409805603885e+00,3.035740730595503159e-02,1.824229359626770020e-01
1.921079351312700856e-01,5.619113388694557676e-01,1.824229359626770020e-01
2.044573407990031566e-01,-3.940088942983823173e-01,1.824229359626770020e-01
1.561211375006736013e+00,4.075595799042458500e-02,1.817852705717086792e-01
2.048909955280810435e-01,5.663080754924639804e-01,1.817852705717086792e-01
2.214739277724503408e-01,-3.895480885605689392e-01,1.817852705717086792e-01
1.594422885115629462e+00,5.173114262151529835e-02,1.941720247268676758e-01
2.347173878172327810e-01,5.684621757678893772e-01,1.941720247268676758e-01
2.575087467995767487e-01,-3.872661088170850086e-01,1.941720247268676758e-01
1.608041812292849260e+00,6.714880364092058740e-02,2.118158489465713501e-01
2.648271329310776245e-01,5.747424650937136281e-01,2.118158489465713501e-01
2.955863975268165356e-01,-3.707573327071793101e-01,2.118158489465713501e-01
1.601894177769961791e+00,7.957922106864093181e-02,2.303772568702697754e-01
2.997652493310364319e-01,5.668453226214735796e-01,2.303772568702697754e-01
3.352478233124510654e-01,-3.364580521888132503e-01,2.303772568702697754e-01
1.616187652710459277e+00,9.382915786435749861e-02,2.434810996055603027e-01
3.334578530004637109e-01,5.661682954931955836e-01,2.434810996055603027e-01
3.745723452421566568e-01,-3.398993612122558350e-01,2.434810996055603027e-01
1.605936812754395593e+00,9.951249285018795576e-02,2.363655716180801392e-01
3.720136585422220143e-01,5.665924105292511337e-01,2.363655716180801392e-01
4.120986097766964340e-01,-3.775570462224486223e-01,2.363655716180801392e-01
1.619666498435586188e+00,8.991245097266732655e-02,2.350459545850753784e-01
4.168795457956447903e-01,5.679130226868893683e-01,2.350459545850753784e-01
4.453247530013609845e-01,-5.297184592718888752e-01,2.350459545850753784e-01
1.609196665646433821e+00,8.595946544487684249e-02,2.397499084472656250e-01
4.619876008099363940e-01,5.609072115780366907e-01,2.397499084472656250e-01
4.976973911352422508e-01,-1.833826554600350489e+00,2.397499084472656250e-01
1.619427359686965273e+00,8.766704254431396948e-02,2.448294460773468018e-01
5.060826589233895501e-01,5.602689651828748341e-01,2.448294460773468018e-01
5.329392245998433308e-01,-1.845581139225141998e+00,2.448294460773468018e-01
1.617735122918768864e+00,8.772844621353402539e-02,2.458826750516891479e-01
5.505051588169156407e-01,5.566860175599797067e-01,2.458826750516891479e-01
5.619321059107496019e-01,-1.859286959292227204e+00,2.458826750516891479e-01
1.626841670528260453e+00,8.810429261621678665e-02,2.440952956676483154e-01
5.913203637372829169e-01,5.571625226707659362e-01,2.440952956676483154e-01
5.888723864553624399e-01,-1.838836226787845085e+00,2.440952956676483154e-01
