x,y,z
1.554474284315044752e+00,4.647472833267793368e-02,4.806742444634437561e-02
1.967373955737594937e-01,5.362813646200343953e-01,4.806742444634437561e-02
2.145094522453787067e-01,-3.815465898472833461e-01,4.806742444634437561e-02
1.319671059731378493e-01,5.111075212449965877e-01,8.525148779153823853e-02
1.516169930578634251e+00,4.082158793778314920e-02,5.732555314898490906e-02
1.585847045139489042e-01,5.310484272386288840e-01,5.732555314898490906e-02
1.760726879136239320e-01,-3.867849838097011661e-01,5.732555314898490906e-02
1.533300212322666667e+00,4.051521471911827266e-02,7.172907888889312744e-02
2.056986094912382212e-01,5.549653912760145191e-01,7.172907888889312744e-02
2.067810211348744542e-01,-3.720339767847375967e-01,7.172907888889312744e-02
1.528230842183806670e+00,5.035412749145759537e-02,1.184947863221168518e-01
1.964451430641395158e-01,5.538735924780051612e-01,1.184947863221168518e-01
2.051477632427970987e-01,-3.730855567848013754e-01,1.184947863221168518e-01
1.518042617576411457e+00,4.635772410459367693e-02,1.503970474004745483e-01
1.865306763097306364e-01,5.506006717639880810e-01,1.503970474004745483e-01
1.947296798188681288e-01,-3.763630688113686062e-01,1.503970474004745483e-01
1.524741787339109145e+00,5.314888810032199207e-02,1.645504385232925415e-01
1.946347830109351473e-01,5.610862435262942149e-01,1.645504385232925415e-01
2.002604523511820889e-01,-3.658966861139846261e-01,1.645504385232925415e-01
1.540215203855620274e+00,6.153402095010675199e-02,1.732826828956604004e-01
2.092275453724404544e-01,5.671592309282702526e-01,1.732826828956604004e-01
2.164640604079937358e-01,-3.598125231452505846e-01,1.732826828956604004e-01
1.545746759049028141e+00,7.446008094802360200e-02,1.870013326406478882e-01
2.233545356627984479e-01,5.622866972038647049e-01,1.870013326406478882e-01
2.392324414910988462e-01,-3.815797616273132187e-01,1.870013326406478882e-01
1.581339700236662704e+00,7.830202632908594973e-02,1.973066926002502441e-01
2.586628328994080572e-01,5.653563401493275631e-01,1.973066926002502441e-01
2.750919127783624241e-01,-3.785006857472491548e-01,1.973066926002502441e-01
1.620108829116516436e+00,7.562310022551849142e-02,2.183130681514739990e-01
3.005892192490787762e-01,5.711672447528102214e-01,2.183130681514739990e-01
3.109524733134217955e-01,-3.727758695105430342e-01,2.183130681514739990e-01
1.631613577466597631e+00,5.029827866103594308e-02,2.274575531482696533e-01
3.467989835215276040e-01,5.663994888764014579e-01,2.274575531482696533e-01
3.372028584919573024e-01,-3.765516839763697887e-01,2.274575531482696533e-01
1.626906820289428568e+00,1.040521293180229206e-02,2.346812486648559570e-01
3.954699196157125396e-01,5.568456576822913284e-01,2.346812486648559570e-01
3.571819505854035848e-01,-3.673615871646283559e-01,2.346812486648559570e-01
1.639653667029673301e+00,-8.806645786501185458e-03,2.312924414873123169e-01
4.310903056971082670e-01,5.591305000707952333e-01,2.312924414873123169e-01
3.823202011408022294e-01,-3.585745053103276958e-01,2.312924414873123169e-01
1.623552133663626051e+00,-6.797479724181314242e-03,2.260885536670684814e-01
4.564205257712331543e-01,5.557403499890897214e-01,2.260885536670684814e-01
4.115145175396983657e-01,-3.341273089494231074e-01,2.260885536670684814e-01
1.634654851591542890e+00,-2.736772583184249319e-03,2.295068353414535522e-01
4.852119371166112582e-01,5.495738160925847104e-01,2.295068353414535522e-01
4.500358313885535200e-01,-3.127089922631242636e-01,2.295068353414535522e-01
1.630180073916246419e+00,2.925363952901556541e-03,2.430211901664733887e-01
5.178411420121967756e-01,5.455044831332820365e-01,2.430211901664733887e-01
4.905446597682735499e-01,-3.140622112291200363e-01,2.430211901664733887e-01
1.646480014022402294e+00,1.535577608191195098e-02,2.536146938800811768e-01
5.493845678742491634e-01,5.520927526737846591e-01,2.536146938800811768e-01
5.326391264105999612e-01,-3.377496997806864187e-01,2.536146938800811768e-01
1.640828538158969341e+00,2.469797584390907505e-02,2.565405368804931641e-01
5.828008920932412629e-01,5.489283642807245567e-01,2.565405368804931641e-01
1.648776236746459345e+00,3.325019443175528111e-02,2.467969805002212524e-01
6.133364085528135723e-01,5.404477517901410399e-01,2.467969805002212524e-01
6.059274436825258237e-01,-1.860540816953898391e+00,2.467969805002212524e-01
1.646905460163978541e+00,4.577878027626228891e-02,2.417826801538467407e-01
6.369109956960240515e-01,5.447949941852785471e-01,2.417826801538467407e-01
6.605742824477049968e-01,-1.843087760235488037e+00,2.417826801538467407e-01
1.646624133802444767e+00,4.978464905019350240e-02,2.367055267095565796e-01
6.684794532324026539e-01,5.408874731843357209e-01,2.367055267095565796e-01
7.076129835463529361e-01,-1.856793190875239752e+00,2.367055267095565796e-01
1.650933905963292592e+00,5.192697239251617414e-02,2.423648238182067871e-01
7.010461944806996026e-01,5.422272228252097426e-01,2.423648238182067871e-01
1.657201282550373023e+00,5.629355461216032502e-02,2.445715814828872681e-01
7.347379790551585854e-01,5.400367237677522469e-01,2.445715814828872681e-01
7.905894631519644333e-01,-1.868315744564942538e+00,2.445715814828872681e-01
1.655185624883798834e+00,6.302114502406326590e-02,2.433383315801620483e-01
7.695431410042039566e-01,5.413174870000198036e-01,2.433383315801620483e-01
8.315513090226795967e-01,-1.859882002234265475e+00,2.433383315801620483e-01
1.666304762821960495e+00,7.092365342745905743e-02,2.395407706499099731e-01
8.073610364046098775e-01,5.381545116210025848e-01,2.395407706499099731e-01
8.771789636201192675e-01,-1.862830589757040078e+00,2.395407706499099731e-01
1.661125950311054478e+00,7.681507058442005320e-02,2.376676052808761597e-01
8.481404772720677609e-01,5.337796432020078807e-01,2.376676052808761597e-01
1.667386481778290852e+00,7.591269269390105157e-02,2.359599471092224121e-01
