x,y,z
1.765596214942046327e+00,-7.425372368957110919e-04,4.357183817774057388e-03
-3.130553727902631728e-03,1.894786839425560698e+00,4.357183817774057388e-03
1.664261462756188399e-03,-5.462084513825324894e-01,4.357183817774057388e-03
1.765612728397225162e+00,4.704220182658314098e-04,4.727366380393505096e-03
-3.106522089838578866e-03,1.896006813902230581e+00,4.727366380393505096e-03
1.678611470265468919e-03,-5.449884959041632060e-01,4.727366380393505096e-03
1.765580688639427853e+00,-4.165726055933285585e-04,5.181250628083944321e-03
-3.066619212135658461e-03,1.895186946179233445e+00,5.181250628083944321e-03
1.625871160727378759e-03,-5.458085434794635038e-01,5.181250628083944321e-03
-3.240789797812420291e-03,1.881922069270255182e+00,5.035760346800088882e-03
1.636283418869536157e-03,-5.440730284487899082e-01,5.035760346800088882e-03
-3.231203272908924826e-03,1.881543321185632056e+00,4.591305740177631378e-03
1.637461419184525410e-03,-5.444517934228282341e-01,4.591305740177631378e-03
-3.390525648603804482e-03,1.880692809330080539e+00,5.616199690848588943e-03
1.670478902238192558e-03,-5.453019116520027021e-01,5.616199690848588943e-03
-3.300343163061621784e-03,1.881166287710123619e+00,2.071144990622997284e-03
1.695291695193828748e-03,-5.448285687626518436e-01,2.071144990622997284e-03
1.776552368306425711e+00,-6.111978599724122475e-04,4.557842854410409927e-03
-3.340722582579251729e-03,1.896744220875690834e+00,4.557842854410409927e-03
1.660985126729307626e-03,-5.432506526681021297e-01,4.557842854410409927e-03
1.776532496573759001e+00,3.973046956560776811e-04,5.356171634048223495e-03
-3.379320046055777141e-03,1.897735156807701884e+00,5.356171634048223495e-03
1.646469022906712782e-03,-5.422596672532498108e-01,5.356171634048223495e-03
1.776569909705877581e+00,2.223785993993752583e-04,3.931497689336538315e-03
-3.189684548522468254e-03,1.897703020571647192e+00,3.931497689336538315e-03
1.640352436703907497e-03,-5.422921988381617098e-01,3.931497689336538315e-03
1.776817709714627602e+00,3.471795558922835707e-04,4.975562915205955505e-03
-2.803854018407963677e-03,1.897957279101208483e+00,4.975562915205955505e-03
1.848693752987529311e-03,-5.420382851978814420e-01,4.975562915205955505e-03
1.776855671579049778e+00,-7.542646288638031951e-04,4.635480232536792755e-03
-2.678836620132378585e-03,1.896937473807148500e+00,4.635480232536792755e-03
1.861775323918453883e-03,-5.430583013619753041e-01,4.635480232536792755e-03
1.779842755830498557e+00,-9.451288195252960898e-04,5.356752313673496246e-03
-2.791656024799061241e-03,1.907666815413590955e+00,5.356752313673496246e-03
1.879047601222799636e-03,-5.473287415126608657e-01,5.356752313673496246e-03
1.779251228635556181e+00,-1.319429421412774469e-03,5.164236761629581451e-03
2.328896286221126557e-04,1.910663507081162171e+00,5.164236761629581451e-03
2.564369418656744517e-04,-5.443364928059100105e-01,5.164236761629581451e-03
1.779174310962861272e+00,-1.070403986495923514e-03,4.841155372560024261e-03
5.090218300276910194e-06,1.910772132404823020e+00,4.841155372560024261e-03
2.223778932658255407e-04,-5.442278579793045079e-01,4.841155372560024261e-03
1.779137616616087936e+00,1.440028785160517430e-04,5.459166131913661957e-03
-4.862684859821516433e-04,1.911563325678778291e+00,5.459166131913661957e-03
3.149190142575197912e-04,-5.434365435877333006e-01,5.459166131913661957e-03
1.779055442201101567e+00,1.213722909055785920e-03,3.518902463838458061e-03
-8.768545434580780635e-04,1.912345853088870617e+00,3.518902463838458061e-03
3.204822442092986967e-04,-5.426538549324190219e-01,3.518902463838458061e-03
1.779034860719487687e+00,1.279425689758069938e-03,4.689462482929229736e-03
-9.355242433295088552e-04,1.909374661430186304e+00,4.689462482929229736e-03
3.076153349218882526e-04,-5.356250225378893504e-01,4.689462482929229736e-03
1.779048366768682055e+00,1.610782659483805512e-04,5.336763802915811539e-03
-9.846553393931518992e-04,1.908197880899690002e+00,5.336763802915811539e-03
3.387476037007394378e-04,-5.368017609417256031e-01,5.336763802915811539e-03
1.778761324529764654e+00,1.083585128495738329e-03,5.480194464325904846e-03
-1.608455326853861205e-03,1.908806166368570700e+00,5.480194464325904846e-03
1.465117931167869204e-04,-5.361932037929856287e-01,5.480194464325904846e-03
1.779038253889706489e+00,1.670236314326949741e-03,5.460958927869796753e-03
-1.392207022869556849e-03,1.909336185545122522e+00,5.460958927869796753e-03
4.405320674681547505e-04,-5.356631275565044703e-01,5.460958927869796753e-03
1.779808057075223715e+00,8.629235627194023570e-04,5.262103397399187088e-03
-7.059603068281801019e-04,1.908450885861188828e+00,5.262103397399187088e-03
1.233872838982106885e-03,-5.365483446187243599e-01,5.262103397399187088e-03
1.768894006171255251e+00,-9.656409517800391973e-02,2.682929160073399544e-03
8.677386501292788656e-02,1.869071128028348960e+00,2.682929160073399544e-03
-7.511452553759151440e-03,-5.631020316976088624e-01,2.682929160073399544e-03
1.767988049450886612e+00,-1.221806396985708060e-01,2.046061214059591293e-03
1.189750212388283879e-01,1.871310276455023569e+00,2.046061214059591293e-03
-1.597103680873338330e-02,-5.589459983887271610e-01,2.046061214059591293e-03
1.674009341881616209e+00,-2.255605629861891503e-01,8.175221271812915802e-03
9.761230718161378883e-02,1.825834666848627386e+00,8.175221271812915802e-03
-1.244772423072226797e-01,-5.980119108059580579e-01,8.175221271812915802e-03
1.736038563671840063e+00,-2.225022860032808136e-01,4.295022413134574890e-02
1.895870359285397599e-01,1.851560797015268767e+00,4.295022413134574890e-02
-6.766525806060480486e-02,-5.688063770385610729e-01,4.295022413134574890e-02
1.787970123016831892e+00,-1.768875986299777159e-01,8.453352749347686768e-02
1.997874800693992259e-01,1.865396880241785071e+00,8.453352749347686768e-02
-8.342108199905988453e-03,-5.596882882599008013e-01,8.453352749347686768e-02
1.752348390114412569e+00,-1.621610900390892396e-01,8.953481167554855347e-02
1.359309916736244350e-01,1.870469666890933080e+00,8.953481167554855347e-02
-3.214639996011189882e-02,-5.747605861571517538e-01,8.953481167554855347e-02
1.730422933417481213e+00,-1.917533400822146739e-01,1.368423402309417725e-01
1.325808959387359542e-01,1.855511621583903370e+00,1.368423402309417725e-01
-5.775484830957341997e-02,-5.880868119688443807e-01,1.368423402309417725e-01
1.742957275317281729e+00,-1.704790146615038082e-01,2.086565792560577393e-01
1.126561380525989836e-01,1.851033093101762228e+00,2.086565792560577393e-01
-3.866973174198977403e-02,-5.952909821447925909e-01,2.086565792560577393e-01
1.737449223786909247e+00,-1.352358228008829211e-01,2.688604891300201416e-01
5.760358342452204239e-02,1.845297343938689938e+00,2.688604891300201416e-01
-3.311520596401010263e-02,-6.040231947519646427e-01,2.688604891300201416e-01
1.733824369992239101e+00,-1.092213606612121440e-01,3.060048222541809082e-01
2.592680111340572857e-02,1.847172999946528504e+00,3.060048222541809082e-01
-2.988008912536548045e-02,-6.031915833352895495e-01,3.060048222541809082e-01
1.729602353211196819e+00,-8.994220704499365782e-02,3.211567699909210205e-01
3.064069488851562523e-02,1.853882446453733124e+00,3.211567699909210205e-01
-1.892189362323228041e-02,-5.916153658168106233e-01,3.211567699909210205e-01
1.745115235302717949e+00,-9.591948418980845992e-02,3.299075067043304443e-01
4.286346937330280660e-02,1.845024596764145208e+00,3.299075067043304443e-01
-2.556744733188136623e-03,-6.005536588127481368e-01,3.299075067043304443e-01
1.751997199529588434e+00,-1.158440345714476377e-01,3.347178399562835693e-01
5.203361102419852557e-02,1.827104445897315799e+00,3.347178399562835693e-01
3.731827104572180837e-03,-6.184185937958663892e-01,3.347178399562835693e-01
1.755735546820052395e+00,-1.249345918101991137e-01,3.402662873268127441e-01
4.892512615645688845e-02,1.812001955398862441e+00,3.402662873268127441e-01
9.254844014913570296e-03,-6.336763285777547994e-01,3.402662873268127441e-01
1.762880891905473923e+00,-1.392257230110870991e-01,3.532631099224090576e-01
6.636389304735093586e-02,1.806732928293053098e+00,3.532631099224090576e-01
1.372744134411517554e-02,-6.387006537026007624e-01,3.532631099224090576e-01
1.795065345823787739e+00,-1.501676700698471589e-01,3.580964505672454834e-01
5.357016811643283694e-02,-6.408045480376866054e-01,3.580964505672454834e-01
1.833311887529251560e+00,-1.260451450857456301e-01,3.597078323364257812e-01
9.983727324992615337e-02,-6.443073968937900187e-01,3.597078323364257812e-01
1.819586872658480070e+00,-7.075166254182049808e-02,3.587693870067596436e-01
8.889393694277297753e-02,1.794338941762363637e+00,3.587693870067596436e-01
1.530937591462285252e-01,-6.438159718616750515e-01,3.587693870067596436e-01
1.836600825966299588e+00,-3.505845250480474351e-02,3.627536594867706299e-01
2.026531608814299279e-01,-6.564432187838810107e-01,3.627536594867706299e-01
1.822462865991576697e+00,-4.849591458730377613e-02,3.613422513008117676e-01
1.446934655442759787e-01,1.801180229747888939e+00,3.613422513008117676e-01
2.414036798945981555e-01,-6.649242154125982740e-01,3.613422513008117676e-01
1.839685742322995310e+00,-7.870826928756906316e-02,3.591427206993103027e-01
2.276863179319070785e-01,1.813795325362332678e+00,3.591427206993103027e-01
2.640611462095006634e-01,-6.599372535288809960e-01,3.591427206993103027e-01
1.821137783119623155e+00,-9.034605079608259981e-02,3.587260842323303223e-01
2.917026428591162346e-01,-6.628573185771832188e-01,3.587260842323303223e-01
